event_id,customer_id,user_id,event_timestamp,event_name,source_system,properties
1,1,4,2026-03-07,workflow_created,clay_app_events,"{""workflow_run_id"": 1, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
2,1,2,2026-03-07,workflow_run_started,clay_app_events,"{""workflow_run_id"": 1, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
3,1,2,2026-03-07,workflow_run_completed,clay_app_events,"{""workflow_run_id"": 1, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
4,1,4,2026-03-07,lead_enriched,clay_app_events,"{""workflow_run_id"": 1, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
5,1,2,2026-03-07,crm_sync_completed,clay_app_events,"{""workflow_run_id"": 1, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
6,1,2,2026-03-12,workflow_created,clay_app_events,"{""workflow_run_id"": 2, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
7,1,3,2026-03-12,workflow_run_started,clay_app_events,"{""workflow_run_id"": 2, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
8,1,4,2026-03-12,workflow_run_completed,clay_app_events,"{""workflow_run_id"": 2, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
9,1,2,2026-03-12,lead_enriched,clay_app_events,"{""workflow_run_id"": 2, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
10,1,1,2026-03-12,crm_sync_completed,clay_app_events,"{""workflow_run_id"": 2, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
11,1,4,2026-03-20,workflow_created,clay_app_events,"{""workflow_run_id"": 3, ""workflow_category"": ""waterfall_enrichment"", ""status"": ""completed""}"
12,1,4,2026-03-20,workflow_run_started,clay_app_events,"{""workflow_run_id"": 3, ""workflow_category"": ""waterfall_enrichment"", ""status"": ""completed""}"
13,1,2,2026-03-20,workflow_run_completed,clay_app_events,"{""workflow_run_id"": 3, ""workflow_category"": ""waterfall_enrichment"", ""status"": ""completed""}"
14,1,2,2026-03-20,lead_enriched,clay_app_events,"{""workflow_run_id"": 3, ""workflow_category"": ""waterfall_enrichment"", ""status"": ""completed""}"
15,1,3,2026-03-20,crm_sync_completed,clay_app_events,"{""workflow_run_id"": 3, ""workflow_category"": ""waterfall_enrichment"", ""status"": ""completed""}"
16,1,1,2026-05-05,workflow_created,clay_app_events,"{""workflow_run_id"": 4, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
17,1,2,2026-05-05,workflow_run_started,clay_app_events,"{""workflow_run_id"": 4, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
18,1,4,2026-05-05,workflow_run_completed,clay_app_events,"{""workflow_run_id"": 4, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
19,1,1,2026-05-05,lead_enriched,clay_app_events,"{""workflow_run_id"": 4, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
20,1,2,2026-05-05,crm_sync_completed,clay_app_events,"{""workflow_run_id"": 4, ""workflow_category"": ""personalized_outbound"", ""status"": ""completed""}"
21,1,1,2026-04-08,workflow_created,clay_app_events,"{""workflow_run_id"": 5, ""workflow_category"": ""ai_account_research"", ""status"": ""completed""}"
22,1,1,2026-04-08,workflow_run_started,clay_app_events,"{""workflow_run_id"": 5, ""workflow_category"": ""ai_account_research"", ""status"": ""completed""}"
23,1,4,2026-04-08,workflow_run_completed,clay_app_events,"{""workflow_run_id"": 5, ""workflow_category"": ""ai_account_research"", ""status"": ""completed""}"
24,1,1,2026-04-08,lead_enriched,clay_app_events,"{""workflow_run_id"": 5, ""workflow_category"": ""ai_account_research"", ""status"": ""completed""}"
25,1,1,2026-04-08,crm_sync_completed,clay_app_events,"{""workflow_run_id"": 5, ""workflow_category"": ""ai_account_research"", ""status"": ""completed""}"
26,1,1,2026-04-06,workflow_created,clay_app_events,"{""workflow_run_id"": 6, ""workflow_category"": ""personalized_outbound"", ""status"": ""failed""}"
27,1,2,2026-04-06,workflow_run_started,clay_app_events,"{""workflow_run_id"": 6, ""workflow_category"": ""personalized_outbound"", ""status"": ""failed""}"
28,1,3,2026-04-06,workflow_run_failed,clay_app_events,"{""workflow_run_id"": 6, ""workflow_category"": ""personalized_outbound"", ""status"": ""failed""}"
29,1,1,2026-04-11,workflow_created,clay_app_events,"{""workflow_run_id"": 7, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
30,1,4,2026-04-11,workflow_run_started,clay_app_events,"{""workflow_run_id"": 7, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
31,1,3,2026-04-11,workflow_run_completed,clay_app_events,"{""workflow_run_id"": 7, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
32,1,1,2026-04-11,lead_enriched,clay_app_events,"{""workflow_run_id"": 7, ""workflow_category"": ""crm_sync"", ""status"": ""completed""}"
